prompt,response
"Display a square rotated 45 degrees (appearing as a diamond) centered on the screen. Transform the square into a pink circle with 50% transparency, then fade the circle out.","from manim import *

class SquareToCircle(Scene):
    def construct(self):
        circle = Circle()  # create a circle
        circle.set_fill(PINK, opacity=0.5)  # set color and transparency

        square = Square()  # create a square
        square.rotate(PI / 4)  # rotate a certain amount

        self.play(Create(square))  # animate the creation of the square
        self.play(Transform(square, circle))  # interpolate the square into the circle
        self.play(FadeOut(square))  # fade out animation"
"Display a labeled blue shape representing the outline of the United States, constructed from geographic arc data and positioned on a coordinate grid. The shape is semi-transparent with no border, labeled “USA” in sans-serif font at its center. A white circle is drawn around the shape, centered at its geometric pole. 

Get the data for the USA map here: ""https://cdn.jsdelivr.net/npm/us-atlas@3/nation-10m.json""","from manim import *

import requests
import json

class LabeledCountryExample(Scene):
    def construct(self):
        # Fetch JSON data and process arcs
        data = requests.get('https://cdn.jsdelivr.net/npm/us-atlas@3/nation-10m.json').json()
        arcs, transform = data['arcs'], data['transform']
        sarcs = [np.cumsum(arc, axis=0) * transform['scale'] + transform['translate'] for arc in arcs]
        ssarcs = sorted(sarcs, key=len, reverse=True)[:1]

        # Compute Bounding Box
        points = np.concatenate(ssarcs)
        mins, maxs = np.min(points, axis=0), np.max(points, axis=0)

        # Build Axes
        ax = Axes(
            x_range=[mins[0], maxs[0], maxs[0] - mins[0]], x_length=10,
            y_range=[mins[1], maxs[1], maxs[1] - mins[1]], y_length=7,
            tips=False
        )

        # Adjust Coordinates
        array = [[ax.c2p(*point) for point in sarc] for sarc in ssarcs]

        # Add Polygram
        polygram = LabeledPolygram(
            *array,
            label=Text('USA', font='sans-serif'),
            precision=0.01,
            fill_color=BLUE,
            stroke_width=0,
            fill_opacity=0.75
        )

        # Display Circle (for reference)
        circle = Circle(radius=polygram.radius, color=WHITE).move_to(polygram.pole)

        self.add(ax)
        self.add(polygram)
        self.add(circle)"
"Display a line of text where the phrase ""Blue text"" appears in large blue font, followed by the words ""is *cool*!"" with ""cool"" italicized. The entire line is centered on the screen.","from manim import *

class MarkupExample(Scene):
    def construct(self):
        text = MarkupText('<span foreground=""blue"" size=""x-large"">Blue text</span> is <i>cool</i>!""')
        self.add(text)"
"Display two dots on opposite sides of the screen—one on the far left and one on the far right. They move toward each other simultaneously, crossing paths. During their motion, the speed of the animation dynamically changes: it starts at normal speed, slows down significantly in the middle portion, then returns to normal speed by the end, creating a noticeable slow-motion effect during the center of the movement.","from manim import *

class SpeedModifierExample(Scene):
    def construct(self):
        a = Dot().shift(LEFT * 4)
        b = Dot().shift(RIGHT * 4)
        self.add(a, b)
        self.play(
            ChangeSpeed(
                AnimationGroup(
                    a.animate(run_time=1).shift(RIGHT * 8),
                    b.animate(run_time=1).shift(LEFT * 8),
                ),
                speedinfo={0.3: 1, 0.4: 0.1, 0.6: 0.1, 1: 1},
                rate_func=linear,
            )
        )"
"Display two green lines intersecting at the origin, forming a narrow angle. The angle between them is filled with a solid green sector, bordered by two curved arcs. The filled region is highlighted in orange outline, creating a visual emphasis on the measured angle.","from manim import *

class FilledAngle(Scene):
    def construct(self):
        l1 = Line(ORIGIN, 2 * UP + RIGHT).set_color(GREEN)
        l2 = (
            Line(ORIGIN, 2 * UP + RIGHT)
            .set_color(GREEN)
            .rotate(-20 * DEGREES, about_point=ORIGIN)
        )
        norm = l1.get_length()
        a1 = Angle(l1, l2, other_angle=True, radius=norm - 0.5).set_color(GREEN)
        a2 = Angle(l1, l2, other_angle=True, radius=norm).set_color(GREEN)
        q1 = a1.points #  save all coordinates of points of angle a1
        q2 = a2.reverse_direction().points  #  save all coordinates of points of angle a1 (in reversed direction)
        pnts = np.concatenate([q1, q2, q1[0].reshape(1, 3)])  # adds points and ensures that path starts and ends at same point
        mfill = VMobject().set_color(ORANGE)
        mfill.set_points_as_corners(pnts).set_fill(GREEN, opacity=1)
        self.add(l1, l2)
        self.add(mfill)"
"Display the phrase ""the morse code"" at the center of the screen. After a brief pause, the letters animate and rearrange themselves along curved paths into the phrase ""here come dots,"" visually illustrating the anagram transformation with a smooth and dynamic motion.","from manim import *

class Anagram(Scene):
    def construct(self):
        src = Text(""the morse code"")
        tar = Text(""here come dots"")
        self.play(Write(src))
        self.wait(0.5)
        self.play(TransformMatchingShapes(src, tar, path_arc=PI/2))
        self.wait(0.5)"
"Display a table with two rows labeled “sin” and “cos”, and five columns labeled with square root fractions. The table contains angle values in degrees, showing sine values in the first row and cosine values in the second, all centered on screen.","from manim import *

class IntegerTableExample(Scene):
    def construct(self):
        t0 = IntegerTable(
            [[0,30,45,60,90],
            [90,60,45,30,0]],
            col_labels=[
                MathTex(r""\frac{\sqrt{0}}{2}""),
                MathTex(r""\frac{\sqrt{1}}{2}""),
                MathTex(r""\frac{\sqrt{2}}{2}""),
                MathTex(r""\frac{\sqrt{3}}{2}""),
                MathTex(r""\frac{\sqrt{4}}{2}"")],
            row_labels=[MathTex(r""\sin""), MathTex(r""\cos"")],
            h_buff=1,
            element_to_mobject_config={""unit"": r""^{\circ}""})
        self.add(t0)"
"Display a standard cross shape centered on the screen, formed by two intersecting rectangles—one vertical and one horizontal—creating a simple “X” mark.","from manim import *

class ExampleCross(Scene):
    def construct(self):
        cross = Cross()
        self.add(cross)"
Display 3D axes. Show a scaled-up 3D Gaussian surface with a green stroke and a checkerboard fill pattern in orange and blue. Set the camera orientation to a specific angle that shows the 3D view.,"from manim import *

class ThreeDSurfacePlot(ThreeDScene):
    def construct(self):
        resolution_fa = 24
        self.set_camera_orientation(phi=75 * DEGREES, theta=-30 * DEGREES)

        def param_gauss(u, v):
            x = u
            y = v
            sigma, mu = 0.4, [0.0, 0.0]
            d = np.linalg.norm(np.array([x - mu[0], y - mu[1]]))
            z = np.exp(-(d ** 2 / (2.0 * sigma ** 2)))
            return np.array([x, y, z])

        gauss_plane = Surface(
            param_gauss,
            resolution=(resolution_fa, resolution_fa),
            v_range=[-2, +2],
            u_range=[-2, +2]
        )

        gauss_plane.scale(2, about_point=ORIGIN)
        gauss_plane.set_style(fill_opacity=1,stroke_color=GREEN)
        gauss_plane.set_fill_by_checkerboard(ORANGE, BLUE, opacity=0.5)
        axes = ThreeDAxes()
        self.add(axes,gauss_plane)"
"Display the text “all in red except this” centered on the screen, where the entire sentence is red except for the phrase “except this,” which is colored yellow.","from manim import *

class SingleLineColor(Scene):
    def construct(self):
        text = MarkupText(
            f'all in red <span fgcolor=""{YELLOW}"">except this</span>', color=RED
        )
        self.add(text)"
Display a blue square. Move the square to the left. Change its fill color to orange. Scale the square down to 30% of its original size. Rotate the square by 0.4 radians.,"from manim import *

class MovingAround(Scene):
    def construct(self):
        square = Square(color=BLUE, fill_opacity=1)

        self.play(square.animate.shift(LEFT))
        self.play(square.animate.set_fill(ORANGE))
        self.play(square.animate.scale(0.3))
        self.play(square.animate.rotate(0.4))"
"Display six lines of multilingual text arranged vertically:

1. The first line shows the Tamil greeting ""வணக்கம்"" using a sans-serif font.
2. The second line displays the Japanese phrase ""日本へようこそ"" with ""日本"" in blue.
3. The third line reads ""Multi-Language"" in bold.
4. The fourth line presents a mix of Russian and Hindi script: ""Здравствуйте मस नम म"", using a sans-serif font.
5. The fifth line shows the Hindi greeting ""नमस्ते"" in a sans-serif font.
6. The sixth line displays the Chinese sentence ""臂猿「黛比」帶著孩子"" in a sans-serif font.

All lines are centered and stacked vertically on the screen, showcasing a variety of scripts and font styles.","from manim import *

class MultiLanguage(Scene):
    def construct(self):
        morning = MarkupText(""வணக்கம்"", font=""sans-serif"")
        japanese = MarkupText(
            '<span fgcolor=""blue"">日本</span>へようこそ'
        )  # works as in ``Text``.
        mess = MarkupText(""Multi-Language"", weight=BOLD)
        russ = MarkupText(""Здравствуйте मस नम म "", font=""sans-serif"")
        hin = MarkupText(""नमस्ते"", font=""sans-serif"")
        chinese = MarkupText(""臂猿「黛比」帶著孩子"", font=""sans-serif"")
        group = VGroup(morning, japanese, mess, russ, hin, chinese).arrange(DOWN)
        self.add(group)"
"Display a green dot at the center of the screen. After a short pause, zooming functionality is activated (though not animated), preparing a magnified view. Then, the dot smoothly shifts to the left while the zoomed-in view follows the motion, highlighting the movement in detail.","from manim import *

class UseZoomedScene(ZoomedScene):
    def construct(self):
        dot = Dot().set_color(GREEN)
        self.add(dot)
        self.wait(1)
        self.activate_zooming(animate=False)
        self.wait(1)
        self.play(dot.animate.shift(LEFT))"
"Display two number planes side by side:

- On the **left**, a number plane with x ranging from -4 to 11 and y from -3 to 3, scaled to a width of 5 units and a height of 2 units, creating a horizontally stretched appearance.
- On the **right**, a similar number plane with the same x-range and width, but a taller y-axis scaled to 4 units in height, resulting in a vertically stretched appearance.

This scene visually compares how different y-axis scaling affects the shape of the coordinate grid.","from manim import *

class NumberPlaneScaled(Scene):
    def construct(self):
        number_plane = NumberPlane(
            x_range=(-4, 11, 1),
            y_range=(-3, 3, 1),
            x_length=5,
            y_length=2,
        ).move_to(LEFT*3)

        number_plane_scaled_y = NumberPlane(
            x_range=(-4, 11, 1),
            x_length=5,
            y_length=4,
        ).move_to(RIGHT*3)

        self.add(number_plane)
        self.add(number_plane_scaled_y)"
"Display four groups of arrows arranged across the screen, each demonstrating different arrow properties:

1. **Left Group (far left):** A vertical stack of arrows pointing right, each shorter than the last, showing how increasing the `buff` value reduces arrow length.
2. **Middle Group (center):** A vertical stack of arrows with increasing stroke width, illustrating how a higher `max_stroke_width_to_length_ratio` thickens the arrow shaft.
3. **Upper Right Group:** A vertical stack of arrows with increasingly longer arrow tips, demonstrating the effect of increasing `max_tip_length_to_length_ratio`.
4. **Lower Right Group:** A vertical stack of arrows with different tip shapes and colors—square, filled square, circle, and filled circle—showing the variety of arrowhead styles.","from manim import *

class ArrowExample(Scene):
    def construct(self):
        left_group = VGroup()
        # As buff increases, the size of the arrow decreases.
        for buff in np.arange(0, 2.2, 0.45):
            left_group += Arrow(buff=buff, start=2 * LEFT, end=2 * RIGHT)
        # Required to arrange arrows.
        left_group.arrange(DOWN)
        left_group.move_to(4 * LEFT)

        middle_group = VGroup()
        # As max_stroke_width_to_length_ratio gets bigger,
        # the width of stroke increases.
        for i in np.arange(0, 5, 0.5):
            middle_group += Arrow(max_stroke_width_to_length_ratio=i)
        middle_group.arrange(DOWN)

        UR_group = VGroup()
        # As max_tip_length_to_length_ratio increases,
        # the length of the tip increases.
        for i in np.arange(0, 0.3, 0.1):
            UR_group += Arrow(max_tip_length_to_length_ratio=i)
        UR_group.arrange(DOWN)
        UR_group.move_to(4 * RIGHT + 2 * UP)

        DR_group = VGroup()
        DR_group += Arrow(start=LEFT, end=RIGHT, color=BLUE, tip_shape=ArrowSquareTip)
        DR_group += Arrow(start=LEFT, end=RIGHT, color=BLUE, tip_shape=ArrowSquareFilledTip)
        DR_group += Arrow(start=LEFT, end=RIGHT, color=YELLOW, tip_shape=ArrowCircleTip)
        DR_group += Arrow(start=LEFT, end=RIGHT, color=YELLOW, tip_shape=ArrowCircleFilledTip)
        DR_group.arrange(DOWN)
        DR_group.move_to(4 * RIGHT + 2 * DOWN)

        self.add(left_group, middle_group, UR_group, DR_group)"
"Display the text “WaveWaveWaveWaveWave” in large font. First, animate a wave passing through the text. Then, apply another wave effect moving to the right with a shorter wave duration and smaller amplitude. Finally, animate four evenly spaced wave ripples across the text using a linear timing function.","from manim import *

class ApplyingWaves(Scene):
    def construct(self):
        tex = Tex(""WaveWaveWaveWaveWave"").scale(2)
        self.play(ApplyWave(tex))
        self.play(ApplyWave(
            tex,
            direction=RIGHT,
            time_width=0.5,
            amplitude=0.3
        ))
        self.play(ApplyWave(
            tex,
            rate_func=linear,
            ripples=4
        ))"
"Display a 2×2 matrix  
\[
\begin{bmatrix}
\pi & 1 \\
-1 & 3
\end{bmatrix}
\]  
with the first row colored red, the second row colored blue, and the brackets colored green. The matrix appears on screen without animation.","from manim import *

class SetRowColorsExample(Scene):
    def construct(self):
        m0 = Matrix([[""\\pi"", 1], [-1, 3]],
        ).set_row_colors([RED,BLUE], GREEN)
        self.add(m0)"
"Display four identical squares arranged in a horizontal row with equal spacing between them, all centered on the screen.","from manim import *

class Example(Scene):
    def construct(self):
        s1 = Square()
        s2 = Square()
        s3 = Square()
        s4 = Square()
        x = VGroup(s1, s2, s3, s4).set_x(0).arrange(buff=1.0)
        self.add(x)"
"Display a 5×5 grid of circles. Each circle is added to the scene one at a time in quick succession, with a smooth animation and a short delay of 0.2 seconds between each addition.","from manim import *

class AddWithRunTimeScene(Scene):
    def construct(self):
        # A 5x5 grid of circles
        circles = VGroup(
            *[Circle(radius=0.5) for _ in range(25)]
        ).arrange_in_grid(5, 5)

        self.play(
            Succession(
                # Add a run_time of 0.2 to wait for 0.2 seconds after
                # adding the circle, instead of using Wait(0.2) after Add!
                *[Add(circle, run_time=0.2) for circle in circles],
                rate_func=smooth,
            )
        )
        self.wait()"
"Display a red circle with partial transparency at the center of the screen. After a brief pause, the circle instantly changes into a blue square with lower opacity, without any animation or transition.","from manim import *

class BecomeScene(Scene):
    def construct(self):
        circ = Circle(fill_color=RED, fill_opacity=0.8)
        square = Square(fill_color=BLUE, fill_opacity=0.2)
        self.add(circ)
        self.wait(0.5)
        circ.become(square)
        self.wait(0.5)"
"Display a coordinate grid using a number plane. Then, draw a green vectorized shape (VMobject) composed of two connected Bézier curves defined by eight control points. Add red dots at the control points that act as curve handles, and draw red lines connecting the start and end points of each curve segment to their respective control points, visually illustrating how the curves are shaped.","from manim import *

class VMobjectDemo(Scene):
    def construct(self):
        plane = NumberPlane()
        my_vmobject = VMobject(color=GREEN)
        my_vmobject.points = [
            np.array([-2, -1, 0]),  # start of first curve
            np.array([-3, 1, 0]),
            np.array([0, 3, 0]),
            np.array([1, 3, 0]),  # end of first curve
            np.array([1, 3, 0]),  # start of second curve
            np.array([0, 1, 0]),
            np.array([4, 3, 0]),
            np.array([4, -2, 0]),  # end of second curve
        ]
        handles = [
            Dot(point, color=RED) for point in
            [[-3, 1, 0], [0, 3, 0], [0, 1, 0], [4, 3, 0]]
        ]
        handle_lines = [
            Line(
                my_vmobject.points[ind],
                my_vmobject.points[ind+1],
                color=RED,
                stroke_width=2
            ) for ind in range(0, len(my_vmobject.points), 2)
        ]
        self.add(plane, *handles, *handle_lines, my_vmobject)"
"Display the text ""foooo\nbaaaar"" where the segment ""oo\nbaa"" is colored red and includes a line break between ""oo"" and ""baa"", resulting in a two-line layout. The rest of the text remains in the default color and is displayed on a single centered block.","from manim import *

class NewlineExample(Scene):
    def construct(self):
        text = MarkupText('foooo<span foreground=""red"">oo\nbaa</span>aar')
        self.add(text)"
"Display a graph with six labeled nodes arranged in a spiral layout, where each node is positioned along a gradually expanding curve. The nodes are connected in a loop with additional cross-links between non-adjacent nodes, forming a dense and interconnected structure that visually spirals outward from the center.","from manim import *

class SpiralLayout(Scene):
    def construct(self):
        graph = Graph(
            [1, 2, 3, 4, 5, 6],
            [(1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 1), (5, 1), (1, 3), (3, 5)],
            layout=""spiral"",
            labels=True
        )
        self.add(graph)"
Display a large circle centered on screen with two small squares placed on its edge: one at the top (90 degrees) and one at the bottom (270 degrees).,"from manim import *

class PointAtAngleExample(Scene):
    def construct(self):
        circle = Circle(radius=2.0)
        p1 = circle.point_at_angle(PI/2)
        p2 = circle.point_at_angle(270*DEGREES)

        s1 = Square(side_length=0.25).move_to(p1)
        s2 = Square(side_length=0.25).move_to(p2)
        self.add(circle, s1, s2)"
"Display four variations of a 2×2 table arranged in a grid:

1. The first table contains plain text entries, with the second row's second cell showing a line break.
2. The second table adds row and column labels and highlights the bottom-right cell in yellow.
3. The third table includes the same labels, a star icon in the top-left corner, outer borders, right-aligned text, and a red-colored bottom-right cell.
4. The fourth table is similar to the third but uses thinner yellow lines and removes all vertical lines.

All tables are scaled down and spaced evenly in a 2×2 grid layout.","from manim import *

class TableExamples(Scene):
    def construct(self):
        t0 = Table(
            [[""This"", ""is a""],
            [""simple"", ""Table in \\n Manim.""]])
        t1 = Table(
            [[""This"", ""is a""],
            [""simple"", ""Table.""]],
            row_labels=[Text(""R1""), Text(""R2"")],
            col_labels=[Text(""C1""), Text(""C2"")])
        t1.add_highlighted_cell((2,2), color=YELLOW)
        t2 = Table(
            [[""This"", ""is a""],
            [""simple"", ""Table.""]],
            row_labels=[Text(""R1""), Text(""R2"")],
            col_labels=[Text(""C1""), Text(""C2"")],
            top_left_entry=Star().scale(0.3),
            include_outer_lines=True,
            arrange_in_grid_config={""cell_alignment"": RIGHT})
        t2.add(t2.get_cell((2,2), color=RED))
        t3 = Table(
            [[""This"", ""is a""],
            [""simple"", ""Table.""]],
            row_labels=[Text(""R1""), Text(""R2"")],
            col_labels=[Text(""C1""), Text(""C2"")],
            top_left_entry=Star().scale(0.3),
            include_outer_lines=True,
            line_config={""stroke_width"": 1, ""color"": YELLOW})
        t3.remove(*t3.get_vertical_lines())
        g = Group(
            t0,t1,t2,t3
        ).scale(0.7).arrange_in_grid(buff=1)
        self.add(g)"
"Display two side-by-side coordinate grids, each showing the graph of the function \( f(x) = \frac{x^2 - 2}{x^2 - 4} \):  
- On the left, a red curve is plotted without accounting for discontinuities, resulting in visual artifacts at \(x = \pm2\).  
- On the right, a green curve correctly omits the discontinuous points at \(x = -2\) and \(x = 2\), producing a more accurate representation.  
Both graphs appear simultaneously without animation.","from manim import *

class DiscontinuousExample(Scene):
    def construct(self):
        ax1 = NumberPlane((-3, 3), (-4, 4))
        ax2 = NumberPlane((-3, 3), (-4, 4))
        VGroup(ax1, ax2).arrange()
        discontinuous_function = lambda x: (x ** 2 - 2) / (x ** 2 - 4)
        incorrect = ax1.plot(discontinuous_function, color=RED)
        correct = ax2.plot(
            discontinuous_function,
            discontinuities=[-2, 2],  # discontinuous points
            dt=0.1,  # left and right tolerance of discontinuity
            color=GREEN,
        )
        self.add(ax1, ax2, incorrect, correct)"
"Display a graph with six labeled nodes arranged using the Kamada-Kawai layout algorithm, which positions nodes based on specified ideal distances between them. The nodes are connected in a loop, and the layout reflects the varying desired distances between connected pairs—ranging from short to long—resulting in a non-uniform, organically spaced circular structure.","from manim import *

class KamadaKawaiLayout(Scene):
    def construct(self):
        from collections import defaultdict
        distances: dict[int, dict[int, float]] = defaultdict(dict)

        # set desired distances
        distances[1][2] = 1  # distance between vertices 1 and 2 is 1
        distances[2][3] = 1  # distance between vertices 2 and 3 is 1
        distances[3][4] = 2  # etc
        distances[4][5] = 3
        distances[5][6] = 5
        distances[6][1] = 8

        graph = Graph(
            [1, 2, 3, 4, 5, 6],
            [(1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 1)],
            layout=""kamada_kawai"",
            layout_config={""dist"": distances},
            layout_scale=4,
            labels=True
        )
        self.add(graph)"
"Display a 2×2 table with row and column labels. The bottom-right cell is outlined in red to highlight it, while the rest of the table appears normally.","from manim import *

class GetCellExample(Scene):
    def construct(self):
        table = Table(
            [[""First"", ""Second""],
            [""Third"",""Fourth""]],
            row_labels=[Text(""R1""), Text(""R2"")],
            col_labels=[Text(""C1""), Text(""C2"")])
        cell = table.get_cell((2,2), color=RED)
        self.add(table, cell)"
"Display two mathematical expressions stacked vertically. Both show a right arrow labeled with \( x^6y^8 \), but the top one is rendered using `MathTex` (optimized for math), and the bottom one uses `Tex` with inline math formatting.","from manim import *

class MathTeXDemo(Scene):
    def construct(self):
        rtarrow0 = MathTex(r""\xrightarrow{x^6y^8}"", font_size=96)
        rtarrow1 = Tex(r""$\xrightarrow{x^6y^8}$"", font_size=96)

        self.add(VGroup(rtarrow0, rtarrow1).arrange(DOWN))"
"Display a 3×3 table filled with alternating red circles and blue crosses. A red diagonal line is drawn from the bottom-left to the top-right corner of the table, crossing through the cells. It is a completed Tic-tac-toe game, 'O' has won.","from manim import *

class MobjectTableExample(Scene):
    def construct(self):
        cross = VGroup(
            Line(UP + LEFT, DOWN + RIGHT),
            Line(UP + RIGHT, DOWN + LEFT),
        )
        a = Circle().set_color(RED).scale(0.5)
        b = cross.set_color(BLUE).scale(0.5)
        t0 = MobjectTable(
            [[a.copy(),b.copy(),a.copy()],
            [b.copy(),a.copy(),a.copy()],
            [a.copy(),b.copy(),b.copy()]]
        )
        line = Line(
            t0.get_corner(DL), t0.get_corner(UR)
        ).set_color(RED)
        self.add(t0, line)"
"Display a polar coordinate grid, then plot an orange polar graph defined by the equation \( r = 2\sin(5\theta) \). The resulting curve forms a five-petaled rose pattern, symmetrically arranged around the origin.","from manim import *

class PolarGraphExample(Scene):
    def construct(self):
        plane = PolarPlane()
        r = lambda theta: 2 * np.sin(theta * 5)
        graph = plane.plot_polar_graph(r, [0, 2 * PI], color=ORANGE)
        self.add(plane, graph)"
"Display a set of green axes with labels. Plot the sine function in blue and the cosine function in red. Label the sine graph with ""\sin(x)"" and the cosine graph with ""\cos(x)"". Draw a yellow vertical line at \( x = 2\pi \) and label it.","from manim import *

class SinAndCosFunctionPlot(Scene):
    def construct(self):
        axes = Axes(
            x_range=[-10, 10.3, 1],
            y_range=[-1.5, 1.5, 1],
            x_length=10,
            axis_config={""color"": GREEN},
            x_axis_config={
                ""numbers_to_include"": np.arange(-10, 10.01, 2),
                ""numbers_with_elongated_ticks"": np.arange(-10, 10.01, 2),
            },
            tips=False,
        )
        axes_labels = axes.get_axis_labels()
        sin_graph = axes.plot(lambda x: np.sin(x), color=BLUE)
        cos_graph = axes.plot(lambda x: np.cos(x), color=RED)

        sin_label = axes.get_graph_label(
            sin_graph, ""\\sin(x)"", x_val=-10, direction=UP / 2
        )
        cos_label = axes.get_graph_label(cos_graph, label=""\\cos(x)"")

        vert_line = axes.get_vertical_line(
            axes.i2gp(TAU, cos_graph), color=YELLOW, line_func=Line
        )
        line_label = axes.get_graph_label(
            cos_graph, r""x=2\pi"", x_val=TAU, direction=UR, color=WHITE
        )

        plot = VGroup(axes, sin_graph, cos_graph, vert_line)
        labels = VGroup(axes_labels, sin_label, cos_label, line_label)
        self.add(plot, labels)"
"Display a filled triangle at the center of the screen and a square positioned on the left edge. As the animation begins, the triangle continuously spins around the center of the screen, while the square smoothly moves from the left edge to the right edge. The triangle keeps rotating throughout the square’s movement. This gives an illusion that the triangle is moving to the left while in actuality it is the square at the back moving to the right.","from manim import *

class SpinningTriangle(Scene):
    def construct(self):
        tri = Triangle().set_fill(opacity=1).set_z_index(2)
        sq = Square().to_edge(LEFT)

        # will keep spinning while there is an animation going on
        always_rotate(tri, rate=2*PI, about_point=ORIGIN)

        self.add(tri, sq)
        self.play(sq.animate.to_edge(RIGHT), rate_func=linear, run_time=1)"
"Display a 2×5 grid of evenly spaced dots. A line is first drawn between the first and second dots. Then, the line dynamically shifts to connect the second and third dots, and finally moves again to connect the fifth and eighth dots, demonstrating how a line can be updated to connect different points.","from manim import *

class LineExample(Scene):
    def construct(self):
        d = VGroup()
        for i in range(0,10):
            d.add(Dot())
        d.arrange_in_grid(buff=1)
        self.add(d)
        l= Line(d[0], d[1])
        self.add(l)
        self.wait()
        l.put_start_and_end_on(d[1].get_center(), d[2].get_center())
        self.wait()
        l.put_start_and_end_on(d[4].get_center(), d[7].get_center())
        self.wait()"
"Display a vector field using arrows, where each arrow’s direction and length are determined by a sine and cosine-based function. A gray reference circle appears on the left, followed by a red circle and a dot placed on the same position. Both the circle and the dot begin to move dynamically through the vector field, following its flow. The circle uses a pointwise nudge effect, while the dot follows a smoother path, creating a visual contrast in how each object responds to the field over time.","from manim import *

class Nudging(Scene):
    def construct(self):
        func = lambda pos: np.sin(pos[1] / 2) * RIGHT + np.cos(pos[0] / 2) * UP
        vector_field = ArrowVectorField(
            func, x_range=[-7, 7, 1], y_range=[-4, 4, 1], length_func=lambda x: x / 2
        )
        self.add(vector_field)
        circle = Circle(radius=2).shift(LEFT)
        self.add(circle.copy().set_color(GRAY))
        dot = Dot().move_to(circle)

        vector_field.nudge(circle, -2, 60, True)
        vector_field.nudge(dot, -2, 60)

        circle.add_updater(vector_field.get_nudge_updater(pointwise=True))
        dot.add_updater(vector_field.get_nudge_updater())
        self.add(circle, dot)
        self.wait(6)"
"Display a large LaTeX-styled expression consisting of a monospaced ""H"" followed by a looped right arrow, and then the LaTeX logo.","from manim import *

class AMSLaTeX(Scene):
    def construct(self):
        tex = Tex(r'$\mathtt{H} \looparrowright$ \LaTeX', font_size=144)
        self.add(tex)"
Display a square being drawn on the screen.,"from manim import *

class CreateScene(Scene):
    def construct(self):
        self.play(Create(Square()))"
"Display four different number lines arranged vertically with varied styles:

- The top line is blue, spans from -10 to 10 with tick marks every 2 units, includes numbers labeled above the line.
- The second line has a smaller unit size, includes numbers with elongated ticks at -2 and 4, and the number 6 is highlighted in red.
- The third line spans from -2.5 to 2.5 with 0.5 unit intervals, is 12 units long, and displays numbers with two decimal places.
- The bottom line spans from -5 to 5 with unit intervals, includes an arrow tip at the end, and is slightly rotated by 10 degrees.

All number lines appear on screen simultaneously without animation.","from manim import *

class NumberLineExample(Scene):
    def construct(self):
        l0 = NumberLine(
            x_range=[-10, 10, 2],
            length=10,
            color=BLUE,
            include_numbers=True,
            label_direction=UP,
        )

        l1 = NumberLine(
            x_range=[-10, 10, 2],
            unit_size=0.5,
            numbers_with_elongated_ticks=[-2, 4],
            include_numbers=True,
            font_size=24,
        )
        num6 = l1.numbers[8]
        num6.set_color(RED)

        l2 = NumberLine(
            x_range=[-2.5, 2.5 + 0.5, 0.5],
            length=12,
            decimal_number_config={""num_decimal_places"": 2},
            include_numbers=True,
        )

        l3 = NumberLine(
            x_range=[-5, 5 + 1, 1],
            length=6,
            include_tip=True,
            include_numbers=True,
            rotation=10 * DEGREES,
        )

        line_group = VGroup(l0, l1, l2, l3).arrange(DOWN, buff=1)
        self.add(line_group)"
"Display the word ""Colors"" in large font, with each letter randomly assigned a different bright color.","from manim import *

class IterateColor(Scene):
    def construct(self):
        text = Text(""Colors"", font_size=96)
        for letter in text:
            letter.set_color(random_bright_color())
        self.add(text)"
Display two five-sided polygons (pentagons) being drawn simultaneously: one on the left rotating counterclockwise and one on the right rotating clockwise. The reversed direction of the right polygon creates a mirrored drawing effect during the animation.,"from manim import *

class ChangeOfDirection(Scene):
    def construct(self):
        ccw = RegularPolygon(5)
        ccw.shift(LEFT)
        cw = RegularPolygon(5)
        cw.shift(RIGHT).reverse_direction()

        self.play(Create(ccw), Create(cw),
        run_time=4)"
"Display two dots: a white one shifted to the left and a dark grey one shifted to the right. A third dot appears between them, positioned 30% of the way from the left dot to the right dot, representing an interpolated position along the line connecting the two.","from manim import *

class DotInterpolation(Scene):
    def construct(self):
        dotR = Dot(color=DARK_GREY)
        dotR.shift(2 * RIGHT)
        dotL = Dot(color=WHITE)
        dotL.shift(2 * LEFT)

        dotMiddle = VMobject().interpolate(dotL, dotR, alpha=0.3)

        self.add(dotL, dotR, dotMiddle)"
"Display a coordinate plane with two vectors:

1. A vector pointing to the coordinates (1, 2), labeled with its coordinate values.
2. A vector pointing to the coordinates (−3, −2), also labeled, with the label colored yellow.

Both vectors originate from the origin and are shown on the grid.","from manim import *

class VectorCoordinateLabel(Scene):
    def construct(self):
        plane = NumberPlane()

        vec_1 = Vector([1, 2])
        vec_2 = Vector([-3, -2])
        label_1 = vec_1.coordinate_label()
        label_2 = vec_2.coordinate_label(color=YELLOW)

        self.add(plane, vec_1, vec_2, label_1, label_2)"
